"year","wiki_ref","wiki_query","producer","distributor","name","country","director","cinematography","editing","studio","budget","gross","runtime","music","writer","starring","language","released"
2000,"/wiki/Mission:_Impossible_2","Mission:_Impossible_2","['Tom Cruise', 'Paula Wagner']","['Paramount Pictures']","Mission: Impossible 2","['United States']","['John Woo']","['Jeffrey L. Kimball']","['Jeffrey L. Kimball']","[]","125000000","546400000","123","['Hans Zimmer']","[]","['Tom Cruise', 'Dougray Scott', 'Thandie Newton', 'Richard Roxburgh', 'John Polson', 'Brendan Gleeson', 'Rade \xc5\xa0erbed\xc5\xbeija', 'Ving Rhames']","['English']","2000/05/24"
2000,"/wiki/Gladiator_(2000_film)","Gladiator_(2000_film)","['Douglas Wick', 'David Franzoni', 'Branko Lustig']","['DreamWorks Pictures', 'Universal Pictures', 'Small']","Gladiator","['United Kingdom', 'United States']","['Ridley Scott']","['John Mathieson', 'John Mathieson']","['John Mathieson', 'John Mathieson']","[]","103000000","460500000","155","['Hans Zimmer', 'Lisa Gerrard']","[]","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Derek Jacobi', 'Djimon Hounsou', 'Richard Harris']","['English']","2000/05/01"
2000,"/wiki/Cast_Away","Cast_Away","['Tom Hanks', 'Jack Rapke', 'Steve Starkey', 'Robert Zemeckis']","['20th Century Fox']","Cast Away","['United States']","['Robert Zemeckis']","['Don Burgess', 'Don Burgess']","['Don Burgess', 'Don Burgess']","['ImageMovers', 'Playtone']","90000000","429600000","143","['Alan Silvestri']","['William Broyles, Jr.']","['Tom Hanks', 'Helen Hunt', 'Nick Searcy']","['English']","2000/12/22"
2000,"/wiki/What_Women_Want","What_Women_Want","['Susan Cartsonis', 'Bruce Davey', 'Gina Matthews', 'Nancy Meyers', 'Matt Williams', 'Matt Williams']","['Paramount Pictures']","What Women Want","['United States']","['Nancy Meyers']","['Dean Cundey']","['Dean Cundey']","['Icon Entertainment', 'Wind Dancer Films']","70000000","374100000","127","['Alan Silvestri']","['Josh Goldsmith', 'Cathy Yuspa', 'Diane Drake']","['Mel Gibson', 'Helen Hunt', 'Marisa Tomei', 'Lauren Holly', 'Mark Feuerstein', 'Alan Alda']","['English']","2000/12/15"
2000,"/wiki/Dinosaur_(film)","Dinosaur_(film)","['Pam Marsden']","['Walt Disney Studios Motion Pictures', 'Buena Vista Pictures']","Dinosaur","['United States']","['Ralph Zondag', 'Eric Leighton']","['David Hardberger', 'S. Douglas Smith']","['David Hardberger', 'S. Douglas Smith']","['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Walt Disney Feature Animation', 'List of animation studios owned by The Walt Disney Company', 'The Secret Lab', 'The Secret Lab']","127500000","349800000","82","['James Newton Howard']","[]","['D. B. Sweeney', 'Alfre Woodard', 'Ossie Davis', 'Max Casella', 'Hayden Panettiere', 'Samuel E. Wright', 'Julianna Margulies', 'Peter Siragusa', 'Joan Plowright', 'Della Reese']","['English']","2000/5/19"
2000,"/wiki/How_the_Grinch_Stole_Christmas_(2000_film)","How_the_Grinch_Stole_Christmas_(2000_film)","[]","['Universal Pictures']","How the Grinch Stole Christmas","['United States']","['Ron Howard']","['Donald Peterman', 'Don Peterman']","['Donald Peterman', 'Don Peterman']","['Imagine Entertainment']","123000000","345100000","104","['James Horner']","[]","['Jim Carrey', 'Jeffrey Tambor', 'Christine Baranski', 'Bill Irwin', 'Molly Shannon']","['English']","2000/11/08"
2000,"/wiki/Meet_the_Parents","Meet_the_Parents","['Nancy Tenenbaum', 'Jay Roach', 'Jane Rosenthal', 'Robert De Niro']","['Universal Pictures']","Meet the Parents","['United States']","['Jay Roach']","['Peter James', 'Peter James']","['Peter James', 'Peter James']","['TriBeCa Productions', 'Tribeca Productions', 'Nancy Tenenbaum Productions']","55000000","330400000","108","['Randy Newman']","[]","['Robert De Niro', 'Ben Stiller', 'Blythe Danner', 'Teri Polo', 'James Rebhorn', 'Jon Abrahams', 'Owen Wilson']","['English']","2000/10/6"
2000,"/wiki/The_Perfect_Storm_(film)","The_Perfect_Storm_(film)","['Paula Weinstein', 'Wolfgang Petersen', 'Gail Katz']","['Warner Bros.']","The Perfect Storm","['United States']","['Wolfgang Petersen']","['John Seale']","['John Seale']","['Barry Levinson', 'Baltimore Pictures', 'Gail Katz', 'Radiant Productions']","120000000","328700000","130","['James Horner']","[]","['George Clooney', 'Mark Wahlberg', 'Diane Lane', 'William Fichtner', 'Karen Allen', 'Michael Ironside', 'Bob Gunton', 'Mary Elizabeth Mastrantonio', 'John C. Reilly']","['English']","2000/6/30"
2000,"/wiki/X-Men_(film)","X-Men_(film)","['Lauren Shuler Donner', 'Ralph Winter', 'Ralph Winter']","['20th Century Fox']","X-Men","['United States']","['Bryan Singer']","['Newton Thomas Sigel']","['Newton Thomas Sigel']","[]","75000000","296300000","104","['Michael Kamen']","[]","['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Halle Berry', 'Famke Janssen', 'James Marsden', 'Bruce Davison', 'Rebecca Romijn', 'Rebecca Romijn Stamos', 'Ray Park', 'Anna Paquin', '<!', 'poster credits order is Stewart, Jackman, McKellen, Berry, Janssen, Marsden, Davison, Romijn Stamos, Park, and Paquin. See, for example,\nhttp://www.impawards.com/2000/xmen_ver1.html or archive at https://archive.is/o7ugx', '>']","['English']","2000/07/12"
2000,"/wiki/What_Lies_Beneath","What_Lies_Beneath","['Jack Rapke', 'Steve Starkey', 'Robert Zemeckis']","['DreamWorks Pictures']","What Lies Beneath","['United States']","['Robert Zemeckis']","['Don Burgess', 'Don Burgess']","['Don Burgess', 'Don Burgess']","['ImageMovers']","100000000","291400000","130","['Alan Silvestri']","[]","['Harrison Ford', 'Michelle Pfeiffer', 'Diana Scarwid']","['English']","2000/7/21"
